R1	4636016971786675888	4631881606446635342
R2	4622305198492136080	4633284394973956051
R3	4630331468739448355	4635860667950071255
R4	4630839212921090027	4622612570259007261
R5	4635075691773238293	4635325023007854702
R6	4632938326928464299	4636007735124452368
R7	4635143148181733726	4626570306448455930
R8	4634135914715083228	4623202605291278670
R9	4633971014269841317	4635892318639777163
R10	4635959042338164426	4633458700985517798
R11	4628757883334605002	4625298166551586496
R12	4623722075698564196	4630003460619447604
R13	4635762365447714069	4634415739713315595
R14	4632585777007896245	4621952174598441601
R15	4634725088409205099	4625273184848677857
R16	4626125968693601841	4627618511432607770
R17	4622084776637160720	4631530910685755074
R18	4628742029463853659	4635592299562999049
R19	4631705215326366910	4636014202321554188
R20	4624682257911338499	4634569522835965691
R21	4626825282439064110	4635204275165402484
R22	4635541138701351478	4628454074700612413
R23	4635493038878695144	4634871146070776007
R24	4635860667950071254	4630331468739448358
R25	4634573086329129321	4635682193342565153
