R1	4622291211234400455	4634508366938082797
R2	4636058418928716636	4611785547555210983
R3	4632319209672555102	4628680000450700296
R4	4617936954940769867	4628929770742669483
R5	4634447185360679765	4635135743060292505
R6	4636074527415449242	4628782502985491066
R7	4630373297025303086	4636634367800214599
R8	4631142540828500086	4635314645752656133
R9	4632576172134076664	4636401068869407266
R10	4633233729256115696	4625731140259214886
R11	4636572535627879339	4634893851345884684
R12	4618650168807980992	4611524557007873337
R13	4635923467802689664	4633569567018273806
R14	4635037681268647108	4616931364187718154
R15	4628870091124450671	4632548911358677888
R16	4628796229181020393	4618890920619458016
R17	4632328008305503464	4632524860982142737
R18	4635701656719352162	4632259514948212133
R19	4635231698950285217	4636691354321818672
R20	4633698556751955727	4634626203302377846
R21	4634747159035353525	4633905494931788562
R22	4626243052193572228	4635815337457995576
R23	4634234380827172126	4629751450912643299
R24	4636283854512517847	4636422458389375768
R25	4631712369367422772	4601752162445655520
R26	4628828877509254836	4634253825400003492
R27	4631238425869697422	4630105834370702030
R28	4633301784251738101	4633700844290655656
R29	4636537071088378483	4635792561973634708
R30	4631233111226021087	4634538631470499299
R31	4607481533380614987	4634602767896959666
R32	4634218587561101564	4632566119084289958
R33	4635178370056466057	4634830199507080503
R34	4636672008762764508	4632054010023023195
R35	4621034847683697300	4635978883041840200
R36	4627310180013400593	4630672113361009245
R37	4630171599305768508	4619229757466166872
R38	4627747206797031520	4623760285695477760
R39	4624086159222920575	4617670205745556166
R40	4634852231009489889	4626078552097111420
R41	4630534287005510233	4633534514858268364
R42	4636014508537231996	4625445649898199312
R43	4635451633790385561	4635603582980426851
R44	4615242234390910058	4631915113209585378
R45	4632698064269338690	4620638773662796504
R46	4636348435503539617	4626822347973763980
R47	4636266124283863025	4629450151251524646
R48	4630085715805034435	4635708565586307997
R49	4626638964906014818	4635210940444857549
R50	4628010595355726098	4634910123047211620
R51	4636319366212390290	4632714247406341165
R52	4633832998803506539	4613300347645453583
R53	4626363009687130148	4629580664238444769
R54	4630881116631240120	4631809543432423222
